Close,High,Low
0.9882,0.9898,0.9805
0.9919,0.999,0.984
0.9875,0.9973,0.9865
0.9834,0.9918,0.9798
0.9811,0.9874,0.9765
0.979,0.9806,0.975
0.9734,0.98,0.9717
0.9777,0.988,0.973
0.9943,0.9953,0.987
0.9884,0.9969,0.9859
0.991,0.9939,0.9837
0.9905,0.9925,0.9852
1.0056,1.0089,0.9908
1.0079,1.0147,1.0025
1.0094,1.0162,1.0032
1.0098,1.0099,1.0043
1.0135,1.022,1.0105
1.0078,1.0135,1.0054
0.9861,1.0089,0.9845
0.996,0.9979,0.9875
1.0017,1.0036,0.9939
0.9872,1.0065,0.986
0.9806,0.9889,0.9766
0.9841,0.9893,0.9766
0.9769,0.9854,0.9755
0.9835,0.9856,0.9726
0.9866,0.9917,0.9837
0.9808,0.9876,0.9806
0.9649,0.9808,0.9624
0.9743,0.9761,0.964
0.9658,0.9772,0.9641
0.9705,0.974,0.9656
0.9789,0.98,0.9692
0.9816,0.9827,0.9754
0.9783,0.9893,0.9783
0.982,0.9845,0.9747
0.9837,0.9867,0.9785
0.9768,0.987,0.975
0.9789,0.9809,0.9728
0.9796,0.9849,0.9752
0.9702,0.9811,0.9676
0.972,0.9731,0.9664
0.9723,0.974,0.9685
0.9832,0.9839,0.9703
0.9801,0.9836,0.9793
0.9839,0.9868,0.9776
0.9808,0.9865,0.9796
0.9845,0.9855,0.9798
0.9864,0.9975,0.983
0.9912,0.9975,0.9907
0.993,0.999,0.9886
0.9909,0.9954,0.981
0.9787,0.9829,0.978
0.9748,0.984,0.9723
0.9758,0.9769,0.9703
0.9817,0.9818,0.9741
0.9726,0.984,0.9707
0.971,0.9728,0.9662
0.9711,0.9721,0.9608
0.9762,0.9796,0.9687
0.9844,0.9859,0.9762
0.9805,0.9876,0.9783
0.9778,0.9858,0.975
0.9813,0.9838,0.9758
0.9762,0.9853,0.9758
0.9774,0.981,0.9728
0.9793,0.9804,0.9749
0.9865,0.9899,0.9806
